n;mu;lambda;pmtime; cmax; Nbr0; Nbr1; Nbr2; Nbr3
n;mu;lambda;pmtime; cmax; Nbr0; Nbr1; Nbr2; Nbr3
n;mu;lambda;pmtime; cmax; Nbr0; Nbr1; Nbr2; Nbr3
n;mu;lambda;pmtime; cmax; Nbr0; Nbr1; Nbr2; Nbr3
n;mu;lambda;pmtime; cmax; Nbr0; Nbr1; Nbr2; Nbr3
n;mu;lambda;pmtime; cmax; Nbr0; Nbr1; Nbr2; Nbr3
1 ;0 ; 0 ; 2 ; 13; 1; 0; 1; 0; 0; 0
n;mu;lambda;pmtime; cmax; Nbr0; Nbr1; Nbr2; Nbr3
1 ;0 ; 0 ; 2 ; 12; 0; 0; 0; 0; 0; 0
n;mu;lambda;pmtime; cmax; Nbr0; Nbr1; Nbr2; Nbr3
1 ;0 ; 0 ; 2 ; 13; 1; 0; 0; 0; 0; 0
n;mu;lambda;pmtime; cmax; Nbr0; Nbr1; Nbr2; Nbr3
1 ;0 ; 0 ; 2 ; 12; 0; 0; 1; 0; 0; 0
n;mu;lambda;pmtime; cmax; Nbr0; Nbr1; Nbr2; Nbr3
1 ;0 ; 0 ; 2 ; 13; 1; 0; 1; 0; 0; 0
